time,MEDIA_ID,delta,FPOGX
691.9,,0.10992,0.6284
692.9,,0.0066,0.60261
693.9,,0.00077,0.64376
694.9,,0.00266,0.45593
695.9,,0.00197,0.5509
697.0,,0.02671,0.73345
697.9,,0.00264,0.45657
698.9,,0.00164,0.41409
699.9,,0.00117,0.36856
701.0,,0.00324,0.39117
701.9,,0.06481,0.59443
702.9,,0.00588,0.45806
704.0,,0.04718,0.58967
704.9,,0.0321,0.20303
705.9,,0.01029,0.19275
706.9,,0.0121,0.34845
708.0,,0.08648,0.48814
708.9,,0.04252,0.47968
709.9,,0.00422,0.62203
710.9,,0.00388,0.33897
711.9,,0.00102,0.61786
712.9,,0.00113,0.63003
713.9,,0.00176,0.80683
715.0,,0.00476,0.17349
715.9,,0.00146,0.31112
716.9,,0.13766,0.57241
717.9,,0.00629,0.61839
719.0,,0.00157,0.46958
720.0,,0.00123,0.35945
720.9,,0.00373,0.79272
721.9,,0.03208,0.60595
722.9,,0.00301,0.20386
723.9,,0.01236,0.30982
724.9,,0.00188,0.19035
726.0,,0.00181,0.47351
726.9,,0.00827,0.20383
727.9,,0.02771,0.34833
729.0,,0.15583,0.20691
729.9,,0.00287,0.47247
730.9,,0.02129,0.63267
731.9,,0.48557,0.48612
733.0,,0.00841,0.57132
733.9,,0.00168,0.60437
734.9,,0.00191,0.49768
735.9,,0.03689,0.49515
736.9,,0.05341,0.63425
737.9,,0.04188,0.50566
738.9,,0.01656,0.1571
739.9,,0.00127,0.62817
740.9,,0.00273,0.3652
741.9,,0.00085,0.80772
742.9,,0.0042,0.32257
744.0,,0.0015,0.27533
744.9,,0.1152,0.224
745.9,,0.01872,0.37049
746.9,,0.03299,0.0
747.9,,0.05841,0.31565
748.9,,0.02879,0.55241
749.9,,0.24346,0.81201
751.0,,0.02379,0.21348
752.0,,0.06717,0.0
752.9,,0.06499,0.53845
753.9,,0.0917,0.65466
754.9,,0.03272,0.49036
755.9,,0.03919,0.20363
756.9,,0.01634,0.27787
758.0,,0.01099,0.53458
758.9,,0.04355,0.62282
759.9,,0.0281,0.79446
760.9,,0.01335,0.14545
762.0,,0.05803,0.16459
762.9,,0.14096,0.25249
763.9,,0.00043,0.50779
764.9,,0.00321,0.59619
765.9,,0.00237,0.73739
766.9,,0.00082,0.09627
768.0,,0.00733,0.0
769.0,,0.00327,0.10644
769.9,,0.00262,0.18846
770.9,,0.00108,0.55371
771.9,,0.00304,0.74162
772.9,,0.06541,0.84993
773.9,,0.13286,0.18441
774.9,,0.07362,0.3392
776.0,,0.00321,0.27545
776.9,,0.0005,0.52135
777.9,,0.00395,0.56044
778.9,,0.00091,0.5353
779.9,,0.00874,0.77143
780.9,,0.01676,0.26397
781.9,,0.00537,0.43448
782.9,,0.06275,0.61631
783.9,,0.48107,0.28407
784.9,,0.0898,0.4368
785.9,,9e-05,0.59768
787.0,,0.00142,0.8735
787.9,,0.0093,0.25236
788.9,,0.0192,0.43491
789.9,,0.30103,0.59707
790.9,,0.01244,0.78089
791.9,,0.04114,0.09453
792.9,,0.39536,0.28696
794.0,,0.12944,0.36216
794.9,,0.02797,0.55557
795.9,,0.00055,0.78607
796.9,,0.00456,0.19778
797.9,,0.00112,0.0
798.9,,0.02724,0.65868
800.0,,0.00361,0.09706
801.0,,0.00071,0.17737
801.9,,0.02911,0.41794
802.9,,0.07368,0.20142
803.9,,0.00707,0.75679
805.0,,0.02884,0.86255
805.9,,0.01526,0.22737
806.9,,0.00595,0.45922
807.9,,0.03517,0.59987
808.9,,0.00325,0.74955
809.9,,0.01159,0.12172
810.9,,0.02666,0.15549
